"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.18.0.3","172.18.0.2","UDP","215","37211  >  5001 Len=167"
"2","0.100469","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"3","0.101912","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"4","0.202265","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"5","0.202713","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"6","0.303046","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"7","0.304861","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"8","0.405405","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"9","0.406518","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"10","0.507008","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"11","0.508793","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"12","0.609404","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"13","0.610613","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"14","0.710935","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"15","0.712319","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"16","0.812921","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"17","0.815146","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"18","0.915560","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"19","0.916876","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"20","1.017629","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"21","1.020068","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"22","1.120843","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"23","1.122491","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"24","1.223612","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"25","1.224724","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"26","1.325691","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"27","1.327210","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"28","1.428149","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"29","1.429466","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"30","2.032416","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"31","2.134736","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"32","2.136483","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"33","2.237499","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
"34","2.238684","172.18.0.3","172.18.0.2","UDP","1469","37211  >  5001 Len=1421"
"35","2.339271","172.18.0.2","172.18.0.3","UDP","51","5001  >  37211 Len=3[Malformed Packet]"
