"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.18.0.3","172.18.0.2","TCP","80","53838  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=805176455 TSecr=0 WS=128"
"2","0.010167","172.18.0.2","172.18.0.3","TCP","80","5000  >  53838 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=837612897 TSecr=805176455 WS=128"
"3","0.010264","172.18.0.3","172.18.0.2","TCP","72","53838  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=805176465 TSecr=837612897"
"4","0.010534","172.18.0.3","172.18.0.2","TCP","219","53838  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=147 TSval=805176466 TSecr=837612897"
"5","0.011334","172.18.0.3","172.18.0.2","TCP","2968","53838  >  5000 [PSH, ACK] Seq=148 Ack=1 Win=64256 Len=2896 TSval=805176466 TSecr=837612897"
"6","0.011429","172.18.0.3","172.18.0.2","RSL","2968","HANDOver DETection "
"7","0.011446","172.18.0.3","172.18.0.2","IPA","1520","HSL Debug [Malformed Packet: length of contained item exceeds length of containing item]"
"8","0.011456","172.18.0.3","172.18.0.2","RSL","2968","RELease INDication "
"9","0.011461","172.18.0.3","172.18.0.2","TCP","1520","53838  >  5000 [ACK] Seq=10284 Ack=1 Win=64256 Len=1448 TSval=805176466 TSecr=837612897"
"10","0.011466","172.18.0.3","172.18.0.2","TCP","1520","53838  >  5000 [ACK] Seq=11732 Ack=1 Win=64256 Len=1448 TSval=805176467 TSecr=837612897"
"11","0.020607","172.18.0.2","172.18.0.3","TCP","72","5000  >  53838 [ACK] Seq=1 Ack=148 Win=65024 Len=0 TSval=837612908 TSecr=805176466"
"12","0.020663","172.18.0.3","172.18.0.2","TCP","2968","53838  >  5000 [PSH, ACK] Seq=13180 Ack=1 Win=64256 Len=2896 TSval=805176476 TSecr=837612908"
"13","0.021558","172.18.0.2","172.18.0.3","TCP","72","5000  >  53838 [ACK] Seq=1 Ack=3044 Win=70912 Len=0 TSval=837612908 TSecr=805176466"
"14","0.021560","172.18.0.2","172.18.0.3","TCP","72","5000  >  53838 [ACK] Seq=1 Ack=5940 Win=76672 Len=0 TSval=837612908 TSecr=805176466"
"15","0.021560","172.18.0.2","172.18.0.3","TCP","72","5000  >  53838 [ACK] Seq=1 Ack=7388 Win=79616 Len=0 TSval=837612908 TSecr=805176466"
"16","0.021561","172.18.0.2","172.18.0.3","TCP","72","5000  >  53838 [ACK] Seq=1 Ack=10284 Win=85376 Len=0 TSval=837612909 TSecr=805176466"
"17","0.021561","172.18.0.2","172.18.0.3","TCP","72","5000  >  53838 [ACK] Seq=1 Ack=11732 Win=88192 Len=0 TSval=837612909 TSecr=805176466"
"18","0.021561","172.18.0.2","172.18.0.3","TCP","72","5000  >  53838 [ACK] Seq=1 Ack=13180 Win=91136 Len=0 TSval=837612909 TSecr=805176467"
