"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.18.0.3","172.18.0.2","TCP","80","34728  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=805326885 TSecr=0 WS=128"
"2","0.050201","172.18.0.2","172.18.0.3","TCP","80","5000  >  34728 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=837763327 TSecr=805326885 WS=128"
"3","0.050317","172.18.0.3","172.18.0.2","TCP","72","34728  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=805326936 TSecr=837763327"
"4","0.051338","172.18.0.3","172.18.0.2","TCP","219","34728  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=147 TSval=805326937 TSecr=837763327"
"5","0.051477","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=148 Ack=1 Win=64256 Len=2896 TSval=805326937 TSecr=837763327"
"6","0.051498","172.18.0.3","172.18.0.2","RSL","2968","HANDOver DETection "
"7","0.051506","172.18.0.3","172.18.0.2","IPA","1520","HSL Debug [Malformed Packet: length of contained item exceeds length of containing item]"
"8","0.051517","172.18.0.3","172.18.0.2","RSL","2968","RELease INDication "
"9","0.051523","172.18.0.3","172.18.0.2","TCP","1520","34728  >  5000 [ACK] Seq=10284 Ack=1 Win=64256 Len=1448 TSval=805326937 TSecr=837763327"
"10","0.051533","172.18.0.3","172.18.0.2","TCP","1520","34728  >  5000 [ACK] Seq=11732 Ack=1 Win=64256 Len=1448 TSval=805326937 TSecr=837763327"
"11","0.101515","172.18.0.2","172.18.0.3","TCP","72","5000  >  34728 [ACK] Seq=1 Ack=148 Win=65024 Len=0 TSval=837763379 TSecr=805326937"
"12","0.101553","172.18.0.2","172.18.0.3","TCP","72","5000  >  34728 [ACK] Seq=1 Ack=3044 Win=70912 Len=0 TSval=837763379 TSecr=805326937"
"13","0.101555","172.18.0.2","172.18.0.3","TCP","72","5000  >  34728 [ACK] Seq=1 Ack=5940 Win=76672 Len=0 TSval=837763379 TSecr=805326937"
"14","0.101556","172.18.0.2","172.18.0.3","TCP","72","5000  >  34728 [ACK] Seq=1 Ack=10284 Win=85376 Len=0 TSval=837763379 TSecr=805326937"
"15","0.101557","172.18.0.2","172.18.0.3","TCP","72","5000  >  34728 [ACK] Seq=1 Ack=11732 Win=87680 Len=0 TSval=837763379 TSecr=805326937"
"16","0.101560","172.18.0.2","172.18.0.3","TCP","72","5000  >  34728 [ACK] Seq=1 Ack=13180 Win=86272 Len=0 TSval=837763379 TSecr=805326937"
"17","0.101959","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=13180 Ack=1 Win=64256 Len=2896 TSval=805326987 TSecr=837763379"
"18","0.102098","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=16076 Ack=1 Win=64256 Len=2896 TSval=805326987 TSecr=837763379"
"19","0.102197","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=18972 Ack=1 Win=64256 Len=2896 TSval=805326988 TSecr=837763379"
"20","0.102228","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=21868 Ack=1 Win=64256 Len=2896 TSval=805326988 TSecr=837763379"
"21","0.102253","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=24764 Ack=1 Win=64256 Len=2896 TSval=805326988 TSecr=837763379"
"22","0.102280","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=27660 Ack=1 Win=64256 Len=2896 TSval=805326988 TSecr=837763379"
"23","0.102306","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=30556 Ack=1 Win=64256 Len=2896 TSval=805326988 TSecr=837763379"
"24","0.102330","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=33452 Ack=1 Win=64256 Len=2896 TSval=805326988 TSecr=837763379"
"25","0.102353","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=36348 Ack=1 Win=64256 Len=2896 TSval=805326988 TSecr=837763379"
"26","0.102370","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=39244 Ack=1 Win=64256 Len=2896 TSval=805326988 TSecr=837763379"
"27","0.152131","172.18.0.2","172.18.0.3","TCP","72","5000  >  34728 [ACK] Seq=1 Ack=16076 Win=93440 Len=0 TSval=837763429 TSecr=805326987"
"28","0.152196","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=42140 Ack=1 Win=64256 Len=2896 TSval=805327038 TSecr=837763429"
"29","0.152239","172.18.0.2","172.18.0.3","TCP","72","5000  >  34728 [ACK] Seq=1 Ack=21868 Win=91264 Len=0 TSval=837763430 TSecr=805326988"
"30","0.152239","172.18.0.2","172.18.0.3","TCP","72","5000  >  34728 [ACK] Seq=1 Ack=24764 Win=88448 Len=0 TSval=837763430 TSecr=805326988"
"31","0.152240","172.18.0.3","172.18.0.2","IPA","2968","IPA unknown 0xb7 "
"32","0.152270","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=47932 Ack=1 Win=64256 Len=2896 TSval=805327038 TSecr=837763430"
"33","0.152273","172.18.0.2","172.18.0.3","TCP","72","5000  >  34728 [ACK] Seq=1 Ack=27660 Win=85632 Len=0 TSval=837763430 TSecr=805326988"
"34","0.152273","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=50828 Ack=1 Win=64256 Len=2896 TSval=805327038 TSecr=837763430"
"35","0.152282","172.18.0.3","172.18.0.2","RSL","2968","ip.access MDCX "
"36","0.152283","172.18.0.3","172.18.0.2","TCP","2968","34728  >  5000 [PSH, ACK] Seq=56620 Ack=1 Win=64256 Len=2896 TSval=805327038 TSecr=837763430"
"37","0.152294","172.18.0.2","172.18.0.3","TCP","72","5000  >  34728 [ACK] Seq=1 Ack=30556 Win=82816 Len=0 TSval=837763430 TSecr=805326988"
