"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.18.0.3","172.18.0.2","TCP","80","40900  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=806118013 TSecr=0 WS=128"
"2","0.100042","172.18.0.2","172.18.0.3","TCP","80","5000  >  40900 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=838554455 TSecr=806118013 WS=128"
"3","0.100159","172.18.0.3","172.18.0.2","TCP","72","40900  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=806118113 TSecr=838554455"
"4","0.100272","172.18.0.3","172.18.0.2","TCP","219","40900  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=147 TSval=806118113 TSecr=838554455"
"5","0.100367","172.18.0.3","172.18.0.2","TCP","2968","40900  >  5000 [PSH, ACK] Seq=148 Ack=1 Win=64256 Len=2896 TSval=806118113 TSecr=838554455"
"6","0.100383","172.18.0.3","172.18.0.2","RSL","2968","HANDOver DETection "
"7","0.100388","172.18.0.3","172.18.0.2","IPA","1520","HSL Debug [Malformed Packet: length of contained item exceeds length of containing item]"
"8","0.100395","172.18.0.3","172.18.0.2","RSL","2968","RELease INDication "
"9","0.100398","172.18.0.3","172.18.0.2","TCP","1520","40900  >  5000 [ACK] Seq=10284 Ack=1 Win=64256 Len=1448 TSval=806118113 TSecr=838554455"
"10","0.100405","172.18.0.3","172.18.0.2","TCP","1520","40900  >  5000 [ACK] Seq=11732 Ack=1 Win=64256 Len=1448 TSval=806118113 TSecr=838554455"
"11","0.200618","172.18.0.2","172.18.0.3","TCP","72","5000  >  40900 [ACK] Seq=1 Ack=148 Win=65024 Len=0 TSval=838554555 TSecr=806118113"
"12","0.200624","172.18.0.2","172.18.0.3","TCP","72","5000  >  40900 [ACK] Seq=1 Ack=3044 Win=70912 Len=0 TSval=838554555 TSecr=806118113"
"13","0.200625","172.18.0.2","172.18.0.3","TCP","72","5000  >  40900 [ACK] Seq=1 Ack=5940 Win=76672 Len=0 TSval=838554555 TSecr=806118113"
"14","0.200625","172.18.0.2","172.18.0.3","TCP","72","5000  >  40900 [ACK] Seq=1 Ack=7388 Win=79616 Len=0 TSval=838554555 TSecr=806118113"
"15","0.200626","172.18.0.2","172.18.0.3","TCP","72","5000  >  40900 [ACK] Seq=1 Ack=10284 Win=85376 Len=0 TSval=838554555 TSecr=806118113"
"16","0.200626","172.18.0.2","172.18.0.3","TCP","72","5000  >  40900 [ACK] Seq=1 Ack=11732 Win=86912 Len=0 TSval=838554555 TSecr=806118113"
"17","0.200627","172.18.0.2","172.18.0.3","TCP","72","5000  >  40900 [ACK] Seq=1 Ack=13180 Win=85504 Len=0 TSval=838554555 TSecr=806118113"
"18","0.200627","172.18.0.2","172.18.0.3","TCP","72","[TCP Dup ACK 17#1] 5000  >  40900 [ACK] Seq=1 Ack=13180 Win=85504 Len=0 TSval=838554555 TSecr=806118113"
"19","0.200768","172.18.0.3","172.18.0.2","TCP","2968","40900  >  5000 [PSH, ACK] Seq=13180 Ack=1 Win=64256 Len=2896 TSval=806118213 TSecr=838554555"
"20","0.200841","172.18.0.3","172.18.0.2","TCP","2968","40900  >  5000 [PSH, ACK] Seq=16076 Ack=1 Win=64256 Len=2896 TSval=806118214 TSecr=838554555"
"21","0.200878","172.18.0.3","172.18.0.2","TCP","2968","40900  >  5000 [PSH, ACK] Seq=18972 Ack=1 Win=64256 Len=2896 TSval=806118214 TSecr=838554555"
"22","0.200882","172.18.0.3","172.18.0.2","TCP","2968","40900  >  5000 [PSH, ACK] Seq=21868 Ack=1 Win=64256 Len=2896 TSval=806118214 TSecr=838554555"
"23","0.200896","172.18.0.3","172.18.0.2","TCP","2968","40900  >  5000 [PSH, ACK] Seq=24764 Ack=1 Win=64256 Len=2896 TSval=806118214 TSecr=838554555"
"24","0.200899","172.18.0.3","172.18.0.2","TCP","2968","40900  >  5000 [PSH, ACK] Seq=27660 Ack=1 Win=64256 Len=2896 TSval=806118214 TSecr=838554555"
"25","0.200913","172.18.0.3","172.18.0.2","TCP","2968","40900  >  5000 [PSH, ACK] Seq=30556 Ack=1 Win=64256 Len=2896 TSval=806118214 TSecr=838554555"
"26","0.200916","172.18.0.3","172.18.0.2","TCP","2968","40900  >  5000 [PSH, ACK] Seq=33452 Ack=1 Win=64256 Len=2896 TSval=806118214 TSecr=838554555"
"27","0.200929","172.18.0.3","172.18.0.2","TCP","2968","40900  >  5000 [PSH, ACK] Seq=36348 Ack=1 Win=64256 Len=2896 TSval=806118214 TSecr=838554555"
"28","0.200933","172.18.0.3","172.18.0.2","TCP","2968","40900  >  5000 [PSH, ACK] Seq=39244 Ack=1 Win=64256 Len=2896 TSval=806118214 TSecr=838554555"
"29","0.301345","172.18.0.2","172.18.0.3","TCP","72","5000  >  40900 [ACK] Seq=1 Ack=16076 Win=92672 Len=0 TSval=838554656 TSecr=806118213"
"30","0.301348","172.18.0.2","172.18.0.3","TCP","72","5000  >  40900 [ACK] Seq=1 Ack=18972 Win=94080 Len=0 TSval=838554656 TSecr=806118214"
"31","0.301348","172.18.0.2","172.18.0.3","TCP","72","5000  >  40900 [ACK] Seq=1 Ack=21868 Win=91264 Len=0 TSval=838554656 TSecr=806118214"
"32","0.301349","172.18.0.2","172.18.0.3","TCP","72","5000  >  40900 [ACK] Seq=1 Ack=24764 Win=88448 Len=0 TSval=838554656 TSecr=806118214"
